Ultimate.Parent	Shareholder	Shareholder.Region	Shareholder.Category
GAR Investment Managers SARL	GAR Investment Managers SARL	Europe	Financial investor
Molinos Capital Ltd.	Alken Asset Management Ltd.	Europe	Financial investor
Grossbotzl, Schmitz & Partner Vermogensverwaltersozietat GmbH	Grossbotzl, Schmitz & Partner Vermogensverwaltersozietat GmbH	Europe	Financial investor
Svenska Handelsbanken AB	Handelsbanken Kapitalforvaltning AS	Europe	Financial investor
Credit Andorra SA	Gesalcala SA SGIIC	Europe	Financial investor
Huber, Reuss & Kollegen Vermogensverwaltung GmbH	Huber, Reuss & Kollegen Vermogensverwaltung GmbH	Europe	Financial investor
CCM Holding LLC	Cadence Capital Management LLC	North America	Financial investor
Soprarno SGR SpA	Soprarno SGR SpA	Europe	Financial investor
Sun Life Financial, Inc.	MFS Institutional Advisors, Inc.	North America	Financial investor
Sun Life Financial, Inc.	MFS International (UK) Ltd.	Europe	Financial investor
Adepa Se Broker Group	Adepa Asset Management SA	Europe	Financial investor
Banque Pictet & Cie SA	Pictet Asset Management SA	Europe	Financial investor
State of Vaud	Banque Cantonale Vaudoise (Investment Management)	Europe	Financial investor
Valex Capital AG	Valex Capital AG	Europe	Financial investor
Schmitz & Partner AG	Schmitz & Cie GmbH	Europe	Financial investor
TBF Global Asset Management GmbH	TBF Global Asset Management GmbH	Europe	Financial investor
Aquila & Co. AG	Aquila & Co. AG	Europe	Financial investor
SAS Rue la Boetie	Amundi Austria GmbH	Europe	Financial investor
Valiant Holding AG	Valiant Bank AG	Europe	Financial investor
BlackRock, Inc.	BlackRock Asset Management Schweiz AG	Europe	Financial investor
VV Vermogensverwaltung AG	VV Vermogensverwaltung AG	Europe	Financial investor
FIVV Finanzinformation & Vermogensverwaltung AG	FIVV Finanzinformation & Vermogensverwaltung AG	Europe	Financial investor
Migros Group	Migros Bank AG	Europe	Financial investor
E. Gutzwiller & Cie Banquiers	E. Gutzwiller & Cie Banquiers	Europe	Financial investor
Schroders Plc	Schroder Investment Management (Switzerland) AG	Europe	Financial investor
Quantex AG	Quantex AG	Europe	Financial investor
State Street Corp.	State Street Global Advisors France SA	Europe	Financial investor
VON UND ZU LIECHTENSTEIN FAMILY	LGT Capital Partners AG (Investment Management)	Europe	Financial investor
FMR LLC	Fidelity Investments Canada ULC	North America	Financial investor
Solventis AV SA	Solventis SGIIC SA	Europe	Financial investor
GAM Holding AG	GAM Investment Management (Switzerland) AG	Europe	Financial investor
v.FISCHER INVESTAS Holding AG	Investas AG	Europe	Financial investor
Kagiso Tiso Holdings (Pty) Ltd.	Kagiso Asset Management (Pty) Ltd.	Africa	Financial investor
Oasis Group Holdings Pty Ltd.	Oasis Asset Management Ltd.	Africa	Financial investor
36ONE Asset Management (Pty) Ltd.	36ONE Asset Management (Pty) Ltd.	Africa	Financial investor
BC Investment Management Corp.	BC Investment Management Corp.	North America	Financial investor
Old Mutual Plc	Old Mutual Investment Group (Namibia) (Pty) Ltd.	Africa	Financial investor
Mvunonala Holdings (Pty) Ltd.	Mvunonala Asset Managers (Pty) Ltd.	Africa	Financial investor
Power Corp. of Canada	PanAgora Asset Management, Inc.	North America	Financial investor
Royal London Group	Royal London Asset Management Ltd.	Europe	Financial investor
Banque Pictet & Cie SA	Pictet Asset Management Ltd. (Italy)	Europe	Financial investor
BNP Paribas SA	BNP Paribas Asset Management USA, Inc.	North America	Financial investor
Avocado Investment Managers Pty Ltd.	Avocado Investment Managers Pty Ltd.	Africa	Financial investor
Standard Life Aberdeen Plc	Aberdeen Asset Investments Ltd.	Europe	Financial investor
Investec Ltd.	Investec Asset Management (Pty) Ltd.	Africa	Financial investor
Royal Bank of Canada	RBC Global Asset Management, Inc.	North America	Financial investor
Harvard House Group	Harvard House Investment Management (Pty) Ltd.	Africa	Financial investor
Affiliated Managers Group, Inc.	Trilogy Global Advisors LP	North America	Financial investor
The Toronto-Dominion Bank	TD Asset Management, Inc.	North America	Financial investor
SAS Rue la Boetie	KBI Global Investors Ltd.	Europe	Financial investor
BlueAlpha Investment Management (Pty) Ltd.	BlueAlpha Investment Management (Pty) Ltd.	Africa	Financial investor
Massachusetts Mutual Life Insurance Co.	VTL Associates LLC	North America	Financial investor
Truffle Capital (Pty) Ltd.	Truffle Asset Management (Pty) Ltd.	Africa	Financial investor
Vickers & Peters Financial Planning (Pty) Ltd.	Ampersand Asset Management (Pty) Ltd.	Africa	Financial investor
Man Group plc	GLG Partners UK Ltd.	Europe	Financial investor
Evli Pankki Oyj	Evli Fund Management Co. Ltd.	Europe	Financial investor
Bank of Montreal	F&C Asset Managers Ltd.	Europe	Financial investor
BlackRock, Inc.	BlackRock Financial Management, Inc.	North America	Financial investor
Sanlam Ltd.	Sanlam Structured Solutions	Africa	Financial investor
The Goldman Sachs Group, Inc.	Goldman Sachs Asset Management International Ltd.	Europe	Financial investor
Sumitomo Mitsui Financial Group, Inc.	Sumitomo Mitsui Asset Management Co., Ltd.	Asia	Financial investor
Svenska Handelsbanken AB	Xact Kapitalforvaltning AB	Europe	Financial investor
Canadian Imperial Bank of Commerce	CIBC Asset Management, Inc.	North America	Financial investor
Wasatch Advisors, Inc.	Wasatch Advisors, Inc.	North America	Financial investor
Intesa Sanpaolo SpA	Fideuram Asset Management (Ireland) Ltd.	Europe	Financial investor
UBS Group AG	UBS Asset Management (Americas) Inc.	North America	Financial investor
Daiwa Securities Group Inc.	Daiwa Asset Management Co. Ltd.	Asia	Financial investor
Affiliated Managers Group, Inc.	Genesis Investment Management LLP	Europe	Financial investor
Deutsche Bank AG	Deutsche Asset Management Investment GmbH	Europe	Financial investor
Sumitomo Mitsui Trust Holdings, Inc.	Nikko Asset Management Co., Ltd.	Asia	Financial investor
Erste Group Bank AG	ERSTE-SPARINVEST Kapitalanlagegesellschaft mbH	Europe	Financial investor
Element Investment Managers (Pty) Ltd.	Element Investment Managers (Pty) Ltd.	Africa	Financial investor
Manulife Financial Corp.	Manulife Asset Management (US) LLC	North America	Financial investor
Baron Capital Group, Inc.	BAMCO, Inc.	North America	Financial investor
Intesa Sanpaolo SpA	Eurizon Capital SA	Europe	Financial investor
Russell Investment Management LLC	Russell Investments Canada Ltd.	North America	Financial investor
Research Affiliates Global Holdings LLC	Research Affiliates LLC	North America	Financial investor
Banca Mediolanum SpA	Mediolanum Asset Management Ltd.	Europe	Financial investor
27Four Investment Managers (Pty) Ltd.	27Four Investment Managers (Pty) Ltd.	Africa	Financial investor
DSFin Services (Pty) Ltd.	DSFin Services (Pty) Ltd.	Africa	Financial investor
Gryphon Asset Management (Pty) Ltd.	Gryphon Asset Management (Pty) Ltd.	Africa	Financial investor
Mergence Africa Holdings (Pty) Ltd.	Mergence Investment Managers (Pty) Ltd.	Africa	Financial investor
Brandes Worldwide Holdings LP	Brandes Investment Partners LP	North America	Financial investor
Compagnie Lombard Odier SCmA	Lombard Odier Asset Management (Switzerland) SA	Europe	Financial investor
Sumitomo Mitsui Trust Holdings, Inc.	Sumitomo Mitsui Trust Asset Management Co., Ltd.	Asia	Financial investor
SAS Rue la Boetie	Amundi Asset Management SA (Investment Management)	Europe	Financial investor
Government of the Netherlands	ABN AMRO Investment Solutions SA	Europe	Financial investor
Miton Group Plc	MitonOptimal South Africa (Pty) Ltd.	Africa	Financial investor
Sit Investment Associates, Inc.	Sit Investment Associates, Inc.	North America	Financial investor
Standard Life Aberdeen Plc	Aberdeen Asset Managers Ltd.	Europe	Financial investor
Anchor Group Ltd.	Anchor Capital Pty Ltd.	Africa	Financial investor
Raiffeisen Bank International AG	Raiffeisen Kapitalanlage-Gesellschaft mbH	Europe	Financial investor
Anbang Insurance Group Co., Ltd.	ACTIAM NV	Europe	Financial investor
Mitsubishi UFJ Financial Group, Inc.	Mitsubishi UFJ Kokusai Asset Management Co., Ltd.	Asia	Financial investor
BTG Pactual Holding SA	BTG Pactual Chile SA Administradora General de Fondos	Latin America	Financial investor
Trustus Capital Management BV	Trustus Capital Management BV	Europe	Financial investor
Manulife Financial Corp.	Manulife Asset Management Ltd.	North America	Financial investor
Matco Financial, Inc.	Matco Financial, Inc.	North America	Financial investor
Barrantagh Investment Management, Inc.	Barrantagh Investment Management, Inc.	North America	Financial investor
Sentry Investments Corp.	Sentry Investments, Inc.	North America	Financial investor
Beutel, Goodman & Co. Ltd.	Beutel, Goodman & Co. Ltd.	North America	Financial investor
Fiera Capital Corp.	Fiera Capital Corp. (Investment Management)	North America	Financial investor
Mandarine Gestion SA	Mandarine Gestion SA	Europe	Financial investor
The Independent Order of Foresters	Foresters Asset Management, Inc.	North America	Financial investor
SEI Investments Co.	SEI Investments Canada Co.	North America	Financial investor
Commonwealth Bank of Australia	First State Investment Management (UK) Ltd.	Europe	Financial investor
The Capital Group Cos., Inc.	Capital Research & Management Co. (Global Investors)	North America	Financial investor
Government of Singapore	Fullerton Fund Management Co. Ltd.	Asia	Financial investor
Nomura Holdings, Inc.	Nomura Asset Management Singapore Ltd.	Asia	Financial investor
JPMorgan Chase & Co.	JF Asset Management Ltd.	Asia	Financial investor
Wells Fargo & Co.	Wells Capital Management, Inc.	North America	Financial investor
The Capital Group Cos., Inc.	Capital Research & Management Co. (World Investors)	North America	Financial investor
AXA SA	AllianceBernstein (Singapore) Ltd.	Asia	Financial investor
BOCI-Prudential Asset Management Ltd.	BOCI-Prudential Asset Management Ltd.	Asia	Financial investor
Capital Partners Securities Co., Ltd.	Capital Asset Management Co., Ltd.	Asia	Financial investor
Janus Henderson Group Plc	Henderson Global Investors Ltd.	Europe	Financial investor
Sumitomo Mitsui Trust Holdings, Inc.	Nikko Asset Management Asia Ltd.	Asia	Financial investor
SAS Rue la Boetie	Amundi Singapore Ltd.	Asia	Financial investor
JPMorgan Chase & Co.	JPMorgan Asset Management (Singapore) Ltd.	Asia	Financial investor
Daiwa Securities Group Inc.	Daiwa Asset Management (Singapore) Ltd.	Asia	Financial investor
Manulife Financial Corp.	Manulife Asset Management (Hong Kong) Ltd.	Asia	Financial investor
Okasan Securities Group, Inc.	Okasan Asset Management Co., Ltd.	Asia	Financial investor
Eaton Vance Corp.	Boston Management & Research	North America	Financial investor
BNP Paribas SA	BNP Paribas Asset Management Brasil Ltda.	Latin America	Financial investor
Allianz SE	Pacific Investment Management Co. LLC	North America	Financial investor
EuroAmerica SA	EuroAmerica Administradora General de Fondos SA	Latin America	Financial investor
BancoEstado SA Administradora General de Fondos	BancoEstado SA Administradora General de Fondos	Latin America	Financial investor
Zurich Insurance Group AG	Zurich Administradora General de Fondos SA	Latin America	Financial investor
Morgan Stanley	FundLogic SASU	Europe	Financial investor
Banco de Sabadell SA	Sabadell Asset Management SA SGIIC Sociedad Unipersonal	Europe	Financial investor
Itau Corpbanca	CorpBanca Administradora General de Fondos SA	Latin America	Financial investor
BNP Paribas SA	THEAM SAS	Europe	Financial investor
Comgest SA	Comgest SA	Europe	Financial investor
Union Bancaire Privee, UBP SA	UBP-Gestion Institutionnelle SA	Europe	Financial investor
The Principal Financial Group, Inc.	Claritas Administracao de Recursos Ltda.	Latin America	Financial investor
Banco Bradesco SA	Bram Bradesco Asset Management S/A DTVM	Latin America	Financial investor
Grupo Security SA	Administradora General de Fondos Security SA	Latin America	Financial investor
CCB Principal Asset Management Co., Ltd.	CCB Principal Asset Management Co., Ltd.	Asia	Financial investor
OM Asset Management Plc	Barrow, Hanley, Mewhinney & Strauss LLC	North America	Financial investor
Cutler Investment Counsel LLC	Cutler Investment Counsel LLC	North America	Financial investor
Powszechna Kasa Os Bank Polski SA	PKO TFI SA	Europe	Financial investor
Saigon Securities, Inc.	Ssi Asset Management Co. Ltd.	Asia	Financial investor
BlackRock, Inc.	BlackRock Investment Management (Australia) Ltd.	Pacific	Financial investor
DJE Kapital AG	DJE Kapital AG	Europe	Financial investor
Netwealth Group Ltd.	Netwealth Investments Ltd.	Pacific	Financial investor
Perpetual Ltd.	Perpetual Investment Management Ltd.	Pacific	Financial investor
Kaupbing ehf	Stefnir hf	Europe	Financial investor
GFS Global Financial Solutions GmbH	GFS Global Financial Solutions GmbH	Europe	Financial investor
LSV Asset Management	LSV Asset Management	North America	Financial investor
Cambria Investment Management LP	Cambria Investment Management LP	North America	Financial investor
Dr. Peterreins Portfolio Consulting GmbH	Dr. Peterreins Portfolio Consulting GmbH	Europe	Financial investor
Argonaut Capital Partners LLP	Argonaut Capital Partners LLP	Europe	Financial investor
GlobeFlex Capital LP	GlobeFlex Capital LP	North America	Financial investor
Cliens Holding AB	Cliens Kapitalforvaltning AB	Europe	Financial investor
Skye Partners Ltd.	Arisaig Partners (Asia) Pte Ltd.	Asia	Financial investor
Costanera Management Ltd.	Compass Investments de Mexico SA de CV	North America	Financial investor
Foster Revocable Living Trust	Seafarer Capital Partners LLC	North America	Financial investor
Daiwa Securities Group Inc.	Daiwa Asset Management (America) Ltd.	North America	Financial investor
Bank of Montreal	Thames River Capital LLP	Europe	Financial investor
Grupo Financiero Banorte SAB de CV	Operadora de Fondos Banorte Ixe SA de CV	North America	Financial investor
Fiera Capital Corp.	Charlemagne Capital (UK) Ltd.	Europe	Financial investor
Corporacion Actinver, SAB de CV	Operadora Actinver SA de CV	North America	Financial investor
Citigroup, Inc.	Impulsora de Fondos Banamex SA de CV	North America	Financial investor
Grandeur Peak Global Advisors LLC	Grandeur Peak Global Advisors LLC	North America	Financial investor
Affiliated Managers Group, Inc.	Harding Loevner LP	North America	Financial investor
The Bank of New York Mellon Corp.	The Boston Company Asset Management LLC	North America	Financial investor
Corporativo GBM SAB de CV	GBM Administradora de Activos, SA de CV SOSI	North America	Financial investor
